,s,iteration,num sols,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SATVars
0,0,2,384,0,33308.77000000001,1764179,0,159.341,1,0,1.272311E7,589826
1,0,6,0,,,,,,,,,
2,0,9,384,0,33305.1,1764179,0,161.444,1,0,1.272311E7,589826
3,0,10,384,0,33310.22000000001,1764179,0,162.496,1,0,1.272311E7,589826
4,0,14,384,0,33339.420000000006,1764179,0,159.258,1,0,1.272311E7,589826
5,0,16,384,0,33300.790000000015,1764179,0,161.946,1,0,1.272311E7,589826
6,0,23,384,0,33421.36000000001,1764179,0,149.349,1,0,1.272311E7,589826
7,0,24,384,0,33358.21000000001,1764179,0,157.392,1,0,1.272311E7,589826
8,0,25,384,0,33376.399999999994,1764179,0,163.201,1,0,1.272311E7,589826
9,0,26,384,0,33335.119999999995,1764179,0,162.414,1,0,1.272311E7,589826
10,0,28,384,0,33275.229999999996,1764179,0,161.614,1,0,1.272311E7,589826
11,1,0,193,0,26200.92000000001,1769755,0,154.043,1,0,1.0464369E7,590507
12,1,1,193,0,24543.769999999986,1769683,0,157.337,1,0,9382825.0,590514
13,1,2,195,0,21636.12999999999,1769960,0,160.646,1,0,6341623.0,590547
14,1,3,191,0,23750.66,1769883,0,161.069,1,0,7143401.0,590526
15,1,4,186,0,16164.589999999997,1769604,0,151.801,1,0,4238193.0,590493
16,1,5,182,0,22173.069999999996,1769297,0,153.692,1,0,8511225.0,590448
17,1,6,192,0,20959.86,1769833,0,159.53,1,0,9131470.0,590528
18,1,7,186,0,22328.809999999994,1769492,0,157.492,1,0,7806495.0,590476
19,1,8,196,0,17981.199999999993,1770277,0,159.927,1,0,5429115.0,590587
20,1,9,198,0,16676.079999999998,1769267,0,153.776,1,0,7188031.0,590446
21,1,10,184,0,26572.770000000022,1770195,0,160.482,1,0,7030070.0,590569
22,1,11,186,0,28617.579999999984,1769737,0,157.71,1,0,8088371.0,590517
23,1,12,192,0,26486.610000000004,1769639,0,159.917,1,0,7731509.0,590502
24,1,13,192,0,25364.639999999985,1769251,0,152.265,1,0,9527842.0,590442
25,1,14,237,0,21995.560000000016,1769272,0,140.559,1,0,5585325.0,590436
26,1,15,195,0,22026.350000000006,1769456,0,159.915,1,0,9018625.0,590475
27,1,16,191,0,25746.34000000002,1769368,0,159.625,1,0,7373744.0,590453
28,1,17,202,0,25868.509999999984,1770338,0,158.945,1,0,6802888.0,590586
29,1,18,186,0,25780.800000000014,1769741,0,145.908,1,0,7624783.0,590517
