,lambda,iteration,num sols,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SATVars
0,0.02,10,10,,240.193,,0,96.737,1,0,605960,
1,0.02,14,8,,234.828,,0,90.797,1,0,605001,
2,0.02,15,9,,243.271,,0,98.005,1,0,596463,
3,0.02,16,6,,240.641,,0,92.495,1,0,607051,
4,0.02,17,7,,243.555,,0,96.388,1,0,599576,
5,0.02,18,7,,241.663,,0,92.229,1,0,604921,
6,0.02,20,10,,243.754,,0,94.355,1,0,604597,
7,0.02,22,10,,239.955,,0,91.636,1,0,606257,
8,0.02,25,6,,237.455,,0,93.85,1,0,602525,
9,0.02,27,12,,236.09,,0,97.005,1,0,599954,
10,0.02,28,8,,236.304,,0,96.438,1,0,595857,
11,0.02,29,6,,243.054,,0,94.628,1,0,601888,
12,0.03,0,21,,235.818,,0,93.046,1,0,606528,
13,0.03,1,12,,229.345,,0,93.592,1,0,603982,
14,0.03,2,17,,230.491,,0,90.876,1,0,606387,
15,0.03,3,18,,232.571,,0,86.997,1,0,606186,
16,0.03,4,10,,228.133,,0,88.925,1,0,606773,
17,0.03,5,14,,231.899,,0,90.316,1,0,606795,
18,0.03,6,18,,227.809,,0,90.198,1,0,607057,
19,0.03,7,16,,232.036,,0,90.655,1,0,606863,
20,0.03,8,10,,234.387,,0,86.378,1,0,598930,
21,0.03,9,19,,233.8,,0,92.007,1,0,607187,
22,0.03,10,13,,233.643,,0,88.537,1,0,606038,
23,0.03,11,13,,229.045,,0,86.67,1,0,603579,
24,0.03,12,13,,229.385,,0,86.751,1,0,603513,
25,0.03,13,16,,229.34,,0,88.627,1,0,607208,
26,0.03,14,13,,227.679,,0,88.337,1,0,606526,
27,0.03,15,22,,227.808,,0,92.924,1,0,606870,
28,0.03,16,13,,231.147,,0,91.866,1,0,605958,
29,0.03,17,12,,232.642,,0,92.212,1,0,599345,
30,0.03,18,15,,233.24,,0,85.471,1,0,606592,
31,0.03,19,16,,234.328,,0,88.08,1,0,599178,
