,base,iteration,num sols,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SATVars
0,pars,0,384,,225.252,,0,84.774,1,0,607621,
1,pars,1,384,,213.879,,0,82.188,1,0,607621,
2,pars,2,384,,222.068,,0,80.465,1,0,607621,
3,pars,3,384,,225.906,,0,84.435,1,0,607621,
4,pars,4,384,,219.116,,0,83.518,1,0,607621,
5,pars,5,384,,223.259,,0,88.294,1,0,607621,
6,pars,6,384,,218.435,,0,83.991,1,0,607621,
7,pars,7,384,,224.219,,0,88.343,1,0,607621,
8,pars,8,384,,218.398,,0,82.8,1,0,607621,
9,pars,9,384,,223.528,,0,86.358,1,0,607621,
10,pars,10,384,,220.779,,0,85.926,1,0,607621,
11,pars,11,384,,226.466,,0,89.435,1,0,607621,
12,pars,12,384,,218.853,,0,81.461,1,0,607621,
13,pars,13,384,,212.226,,0,86.69,1,0,607621,
14,pars,14,384,,218.726,,0,83.422,1,0,607621,
15,pars,15,384,,224.16,,0,84.271,1,0,607621,
16,pars,16,384,,222.711,,0,86.707,1,0,607621,
17,pars,17,384,,224.233,,0,85.983,1,0,607621,
18,pars,18,384,,225.184,,0,83.546,1,0,607621,
19,pars,19,384,,190.194,,0,82.142,1,0,607621,
20,pars,20,384,,222.332,,0,89.045,1,0,607621,
21,pars,21,384,,216.765,,0,84.023,1,0,607621,
22,pars,22,384,,218.877,,0,83.024,1,0,607621,
23,pars,23,384,,224.256,,0,89.343,1,0,607621,
24,pars,24,384,,223.56,,0,87.334,1,0,607621,
25,pars,25,384,,217.508,,0,82.884,1,0,607621,
26,pars,26,384,,223.792,,0,84.968,1,0,607621,
27,pars,27,384,,214.97,,0,86.864,1,0,607621,
28,pars,28,384,,214.634,,0,84.795,1,0,607621,
29,pars,29,384,,186.796,,0,81.881,1,0,607621,
