,base,iteration,num sols,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SATVars
0,pars,0,1,0,4.26,1898422,0,76.216,1,0,923,635287
1,pars,2,1,0,3.95,1898422,0,77.383,1,0,923,635287
2,pars,3,1,0,3.74,1898422,0,76.593,1,0,923,635287
3,pars,4,1,0,3.35,1898422,0,77.139,1,0,923,635287
4,pars,6,1,0,2.79,1898422,0,80.87,1,0,923,635287
5,pars,7,1,0,3.43,1898422,0,76.353,1,0,923,635287
6,pars,9,1,0,2.98,1898422,0,83.595,1,0,923,635287
7,pars,10,1,0,4.24,1898422,0,76.429,1,0,923,635287
8,pars,11,0,,,,,,,,,
9,pars,13,1,0,3.18,1898422,0,76.515,1,0,923,635287
10,pars,18,1,0,3.20,1898422,0,76.687,1,0,923,635287
11,pars,19,1,0,3.91,1898422,0,76.575,1,0,923,635287
12,pars,20,1,0,4.62,1898422,0,75.927,1,0,923,635287
13,pars,22,1,0,3.19,1898422,0,80.217,1,0,923,635287
14,pars,23,1,0,3.74,1898422,0,75.783,1,0,923,635287
15,pars,24,1,0,3.18,1898422,0,76.08,1,0,923,635287
16,pars,25,1,0,3.49,1898422,0,76.673,1,0,923,635287
17,pars,26,1,0,3.07,1898422,0,83.064,1,0,923,635287
18,pars,27,1,0,2.94,1898422,0,81.133,1,0,923,635287
19,pars,28,1,0,2.96,1898422,0,81.006,1,0,923,635287
