,base,iteration,num sols,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SATVars
0,pars,2,0,,,,,,,,,
1,pars,3,1,,18.8464,,0,58.305,1,0,1224,
2,pars,5,1,,19.1248,,0,61.455,1,0,1224,
3,pars,7,1,,17.571,,0,63.985,1,0,1224,
4,pars,8,1,,19.4155,,0,57.297,1,0,1224,
5,pars,10,1,,17.3398,,0,61.387,1,0,1224,
6,pars,13,1,,15.7207,,0,66.082,1,0,1224,
7,pars,14,1,,17.8587,,0,63.542,1,0,1224,
8,pars,15,1,,19.2284,,0,60.243,1,0,1224,
9,pars,16,1,,15.5298,,0,67.075,1,0,1224,
10,pars,17,1,,17.4016,,0,60.147,1,0,1224,
11,pars,19,1,,17.8577,,0,66.163,1,0,1224,
12,pars,20,1,,17.7704,,0,59.441,1,0,1224,
13,pars,21,1,,16.9664,,0,59.2,1,0,1224,
14,pars,23,1,,17.5734,,0,56.851,1,0,1224,
15,pars,25,1,,18.0464,,0,58.195,1,0,1224,
16,pars,26,1,,18.1301,,0,57.405,1,0,1224,
17,pars,27,1,,19.2028,,0,59.577,1,0,1224,
18,pars,28,1,,17.7549,,0,58.173,1,0,1224,
19,pars,29,1,,17.5476,,0,62.579,1,0,1224,
